id,regija,upravna_enota,obcina,kraj,povrsina,vrsta_hise,leto,adaptirana,zemljisce,cena
6342774,Dolenjska,Črnomelj,Črnomelj,ADLEŠIČI,366.33,samostojna,2007,,1408.0,340000.0
6365305,S.Primorska,Ajdovščina,Ajdovščina,AJDOVŠČINA,177.8,samostojna,1965,2019,437.0,199000.0
6280153,S.Primorska,Ajdovščina,Ajdovščina,AJDOVŠČINA,223.2,samostojna,1995,,887.0,155000.0
6367285,S.Primorska,Ajdovščina,Ajdovščina,AJDOVŠČINA,247.8,samostojna,2020,,233.0,240900.0
6351944,S.Primorska,Ajdovščina,Ajdovščina,AJDOVŠČINA,262.0,samostojna,2011,,362.0,305000.0
6344547,S.Primorska,Ajdovščina,Ajdovščina,AJDOVŠČINA,292.0,samostojna,1975,2014,1356.0,250000.0
6355154,S.Primorska,Ajdovščina,Ajdovščina,AJDOVŠČINA,360.0,dvostanovanjska,1878,2003,,150000.0
6372448,S.Primorska,Ajdovščina,Ajdovščina,AJDOVŠČINA,369.0,samostojna,1983,,1151.0,418000.0
6240162,S.Primorska,Ajdovščina,Ajdovščina,"AJDOVŠČINA, CENTER",90.0,vrstna,1975,2008,85.0,142500.0
6372469,S.Primorska,Ajdovščina,Ajdovščina,"AJDOVŠČINA, ŠTURJE",369.8,samostojna,1983,2008,1151.0,418000.0
6250673,Gorenjska,Kranj,Cerklje na Gorenjskem,AMBROŽ POD KRVAVCEM,140.0,samostojna,2013,,570.0,170000.0
6372560,Gorenjska,Kranj,Cerklje na Gorenjskem,AMBROŽ POD KRVAVCEM,142.0,samostojna,1983,,1012.0,269000.0
6319513,Podravska,Lenart,Cerkvenjak,ANDRENCI,91.1,samostojna,1995,,1203.0,95000.0
6371623,Podravska,Lenart,Cerkvenjak,ANDRENCI,6611.0,samostojna,1907,,,19900.0
6342085,J. Primorska,Koper,Ankaran,ANKARAN,140.5,vrstna,2001,,180.67,495000.0
5980804,J. Primorska,Koper,Ankaran,ANKARAN,150.0,vrstna,2012,,522.0,165000.0
6188847,J. Primorska,Koper,Ankaran,ANKARAN,205.0,vrstna,1990,,150.0,330000.0
6366093,J. Primorska,Koper,Ankaran,ANKARAN,207.6,dvostanovanjska,1990,,515.0,590000.0
6366422,J. Primorska,Koper,Ankaran,"ANKARAN, DOLGE NJIVE",230.0,dvojček,2020,,563.0,320000.0
5385687,J. Primorska,Koper,Ankaran,"ANKARAN, HRVATINI",210.0,dvojček,1990,,272.0,240000.0
6168481,J. Primorska,Koper,Ankaran,"ANKARAN, VILA OBDANA Z ZELENJEM",250.0,samostojna,1913,2000,400.0,650000.0
6369494,Pomurska,Gornja Radgona,Apače,APAČE,740.0,samostojna,1850,,2782.0,220000.0
6254256,Pomurska,Gornja Radgona,Apače,"APAČE, ŽEPOVCI OB LOKALNI CESTI",300.0,samostojna,1980,2011,575.0,110000.0
6130383,Posavska,Sevnica,Sevnica,APNENIK PRI BOŠTANJU,30.0,samostojna,1890,,6740.0,15000.0
6374426,Gorenjska,Kranj,Cerklje na Gorenjskem,APNO,120.0,samostojna,1978,,2185.0,200000.0
6329094,Gorenjska,Kranj,Cerklje na Gorenjskem,APNO,155.0,samostojna,1978,,11598.0,590000.0
6370241,Gorenjska,Kranj,Cerklje na Gorenjskem,APNO,245.28,samostojna,2009,,451.0,220000.0
6373348,Gorenjska,Kranj,Cerklje na Gorenjskem,APNO,245.28,samostojna,2016,,451.0,220000.0
6371403,Savinjska,Celje,Vojnik,"ARCLIN, ŠKOFJA VAS",133.7,samostojna,1963,,973.0,136000.0
6365286,Savinjska,Celje,Vojnik,"ARCLIN, VOJNIK",126.0,samostojna,2020,,603.0,165000.0
6344347,Posavska,Krško,Krško,ARDRO PRI RAKI,79.0,samostojna,1952,,1633.0,44000.0
6304818,Posavska,Krško,Krško,ARDRO PRI RAKI,138.0,samostojna,1958,,1910.0,73000.0
6372923,Savinjska,Žalec,Žalec,"ARJA VAS, CELJE, ŽALEC",140.0,samostojna,1800,,7693.0,105000.0
